genre_id,body,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
5,明治維新が始まった年は？,1868年,1603年,1192年,1945年
5,第二次世界大戦が終わった年は？,1945年,1939年,1918年,1950年
5,日本の通貨単位は？,円,ドル,ユーロ,ウォン
5,世界で最も面積が広い国は？,ロシア,中国,アメリカ,カナダ
5,赤道が通る大陸は？,アフリカ,ヨーロッパ,オセアニア,北アメリカ
5,日本の国旗に描かれているものは？,太陽,月,星,山
5,国際連合の略称は？,UN,NATO,WHO,OECD
4,水が100℃で沸騰するときの状態変化は？,気体になる,固体になる,氷になる,液体のまま
4,植物が光を利用して養分を作る働きを何という？,光合成,呼吸,蒸散,受粉
4,人間の血液を全身に送り出す臓器は？,心臓,肺,胃,腎臓
4,地球が太陽の周りを回る運動を何という？,公転,自転,回転,移動
4,月が地球の周りを回る運動を何という？,公転,自転,回転,移動
4,酸素の化学式は？,O₂,H₂,CO₂,N₂
4,水の化学式は？,H₂O,CO₂,O₂,H₂
4,植物が空気中から取り入れる気体は？,二酸化炭素,酸素,窒素,水素
4,金属をたたくと広がる性質を何という？,展性,延性,導電性,磁性
4,電流の単位は？,アンペア,ボルト,ワット,オーム
4,電圧の単位は？,ボルト,アンペア,ワット,オーム
4,地球の表面を最も多く覆っているものは？,海,森林,砂漠,氷
4,ばねを引っ張る力を大きくするとばねの伸びは？,大きくなる,小さくなる,変わらない,なくなる
4,音は何によって伝わる？,空気などの物質,光,真空,磁石
4,太陽は何の仲間？,恒星,惑星,衛星,彗星
4,地球の衛星は？,月,太陽,火星,金星
4,消化液でデンプンを分解するものは？,だ液,胃液,胆汁,汗
4,ヒトの体で呼吸を行う器官は？,肺,心臓,胃,肝臓
4,電気を通しやすいものは？,銅,木,プラスチック,ゴム
4,生物の体をつくる最小の単位は？,細胞,組織,器官,個体
